Q177,Q178,Q179,Q180,Q181,Q182,Q183,Q184,Q185,Q186,Q187,Q188,Q189,Q190,Q191,Q192,Q193,Q194,Q195,COUNTRY
1,3,7,1,1,10,5,10,10,10,5,9,1,1,1,1,10,1,7,AND
5,1,1,1,1,10,1,10,10,1,1,10,1,1,1,1,10,1,10,AND
1,1,1,1,1,1,1,1,5,10,1,1,1,3,1,1,1,1,5,AND
1,1,1,1,1,10,1,10,10,10,4,4,1,1,1,1,10,1,1,AND
4,1,1,1,1,10,1,10,10,10,10,10,1,1,1,1,1,1,1,AND
1,1,1,1,1,10,10,10,10,10,5,10,1,1,1,1,10,1,5,AND
1,1,1,1,1,10,5,10,10,10,10,10,1,3,1,1,5,1,8,AND
5,1,1,1,1,10,6,9,10,10,5,10,1,1,1,1,10,5,10,AND
1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AND
1,1,1,1,1,8,5,5,8,8,5,7,1,1,1,1,5,1,2,AND
5,1,1,1,1,5,1,5,5,10,10,5,1,5,5,1,10,1,5,AND
1,1,1,1,1,10,10,10,10,10,5,1,1,1,1,1,10,1,1,AND
1,1,1,1,1,10,10,10,10,10,10,10,1,1,1,1,10,1,6,AND
1,1,1,1,1,10,5,5,5,10,1,1,1,3,1,1,1,1,1,AND
1,1,1,1,1,10,1,5,1,5,1,10,1,1,1,1,1,1,1,AND
1,4,1,1,1,10,4,10,10,1,1,10,1,1,1,1,1,1,10,AND
1,1,1,1,1,10,8,10,10,10,10,10,1,6,1,1,10,1,10,AND
1,1,1,1,1,10,8,8,10,10,1,10,1,5,1,1,10,1,10,AND
5,1,1,1,1,1,1,1,10,1,1,5,1,1,1,1,1,1,6,AND
1,1,1,1,1,8,7,7,10,10,2,2,1,1,1,1,3,1,1,AND
1,1,1,1,1,10,1,10,10,10,1,5,1,1,1,1,5,1,1,AND
1,5,1,1,1,10,1,5,10,1,1,10,1,1,1,1,5,1,10,AND
1,1,1,1,1,5,1,5,5,5,5,5,1,1,1,1,5,1,1,AND
8,5,1,1,1,7,2,10,10,10,1,10,1,1,1,1,10,1,6,AND
2,1,1,2,2,10,7,10,10,10,10,10,1,1,2,1,10,3,6,AND
5,3,4,3,2,10,10,8,10,10,8,10,1,1,3,1,10,2,5,AND
1,1,1,1,1,9,6,6,9,9,5,5,3,2,1,1,8,2,9,AND
1,1,1,1,1,1,1,1,5,3,1,1,1,1,1,1,3,1,3,AND
1,1,1,1,1,9,4,3,10,9,2,2,1,2,3,1,5,1,5,AND
1,1,1,1,1,10,10,10,10,10,6,6,1,1,1,1,6,1,10,AND
1,1,1,1,1,2,4,7,10,6,2,2,1,3,1,1,4,1,5,AND
1,1,1,1,1,2,2,2,5,5,2,2,1,2,2,1,5,2,5,AND
1,1,1,1,1,7,3,5,9,6,3,2,1,3,1,1,5,2,6,AND
1,3,2,2,1,8,4,6,6,10,6,8,1,1,1,1,4,1,1,AND
1,1,1,1,1,7,4,4,6,7,1,7,1,1,1,1,6,1,1,AND
1,1,3,1,1,10,10,4,10,10,1,10,1,3,1,1,5,4,10,AND
1,1,1,1,1,10,1,1,1,4,1,1,1,1,1,1,1,1,1,AND
1,1,1,1,1,10,10,6,10,10,1,6,1,1,1,1,1,1,1,AND
1,1,1,1,1,10,1,10,10,10,1,7,1,1,1,1,3,1,1,AND
1,1,1,1,1,10,4,4,7,10,1,7,1,1,2,1,1,1,4,AND
